species	chrom	mean_slope	mean_slope_0_10Mb
C0001	scaffold_10	-0.448786816	-0.74982571
C0001	scaffold_11	-0.386569593	-0.643820207
C0001	scaffold_12	-0.454376672	-0.6797742
C0001	scaffold_13	-0.436900113	-0.686759695
C0001	scaffold_14	-0.463069401	-0.649244812
C0001	scaffold_16	-0.394426173	-0.592343362
C0001	scaffold_17	-0.411438861	-0.573192261
C0001	scaffold_18	-0.366374832	-0.574276477
C0001	scaffold_19	-0.500333617	-0.533856886
C0001	scaffold_2	-0.814718783	-0.774586305
C0001	scaffold_3	-1.04898212	-0.934048177
C0001	scaffold_4	-0.876309041	-0.771678922
C0001	scaffold_5	-0.840047945	-0.851146915
C0001	scaffold_6	-0.869271079	-0.782323594
C0001	scaffold_7	-0.777929478	-0.793738486
C0001	scaffold_8	-1.118946715	-0.836014724
C0001	scaffold_9	-0.717867392	-0.681205369
C0055	scaffold_10	-0.374290193	-0.4710238
C0055	scaffold_11	-0.31966268	-0.387163963
C0055	scaffold_12	-0.309662475	-0.39201362
C0055	scaffold_13	-0.312335832	-0.39365208
C0055	scaffold_14	-0.270466878	-0.328449651
C0055	scaffold_15	-0.319489617	-0.365406379
C0055	scaffold_16	-0.353885504	-0.387818378
C0055	scaffold_17	-0.445935219	-0.483741914
C0055	scaffold_18	-0.536577227	-0.558268923
C0055	scaffold_19	-0.413952919	-0.433144513
C0055	scaffold_2	-0.558011618	-1.198231883
C0055	scaffold_20	-0.289656532	-0.305779219
C0055	scaffold_21	-0.372378179	-0.384716154
C0055	scaffold_22	-0.576384052	-0.585397186
C0055	scaffold_23	-0.267385646	-0.335989858
C0055	scaffold_24	-0.621484397	-0.621628348
C0055	scaffold_25	-0.446224586	-0.455346284
C0055	scaffold_26	-0.19007975	-0.210348139
C0055	scaffold_27	-0.361008349	-0.361008349
C0055	scaffold_28	-0.549065794	-0.549065794
C0055	scaffold_29	-0.403565343	-0.403565343
C0055	scaffold_3	-0.402866125	-0.654027974
C0055	scaffold_30	-0.470036212	-0.470036212
C0055	scaffold_31	-0.331229293	-0.331229293
C0055	scaffold_32	-0.689246642	-0.689246642
C0055	scaffold_33	-0.229689071	-0.284218029
C0055	scaffold_34	-0.369550584	-0.371806907
C0055	scaffold_35	-0.2082303	-0.2082303
C0055	scaffold_36	-0.364878756	-0.364878756
C0055	scaffold_37	-0.362324034	-0.47611775
C0055	scaffold_38	-0.304088003	-0.304088003
C0055	scaffold_39	-0.389683147	-0.389683147
C0055	scaffold_4	-0.497176303	-0.661172975
C0055	scaffold_40	-0.163012809	-0.163012809
C0055	scaffold_5	-0.563716581	-0.752383545
C0055	scaffold_6	-0.31078511	-0.565289768
C0055	scaffold_7	-0.212590837	-0.421600557
C0055	scaffold_8	-0.595812573	-0.796034493
C0055	scaffold_9	-0.425231444	-0.497653166
C0080	scaffold_1	-1.140526457	-1.054070776
C0080	scaffold_2	-1.195145836	-1.057969259
C0080	scaffold_3	-1.50206893	-1.040352365
C0080	scaffold_4	-1.319558291	-1.111880697
C0080	scaffold_6	-1.308114326	-1.037296251
C0080	scaffold_7	-1.705605236	-1.098694203
C0080	scaffold_8	-1.31006405	-1.111606202
C0100	scaffold_10	-0.260626699	-0.332381028
