chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_10	20057127	19306	306957	962.5506	15304.136	15.8996	C0001
scaffold_11	20049701	18915	298285	943.4056	14877.2792	15.7698	C0001
scaffold_12	19754822	18528	310696	937.8976	15727.6031	16.769	C0001
scaffold_13	19175159	17578	307851	916.7069	16054.6778	17.5134	C0001
scaffold_14	18923300	17020	270608	899.4203	14300.2542	15.8994	C0001
scaffold_16	17698457	14878	262970	840.6383	14858.3574	17.6751	C0001
scaffold_17	17214683	13861	259583	805.1847	15079.1624	18.7276	C0001
scaffold_18	16691572	13041	267819	781.2925	16045.1634	20.5367	C0001
scaffold_19	15634627	11476	246024	734.0118	15735.8407	21.4381	C0001
scaffold_2	35879653	60346	429473	1681.9003	11969.8203	7.1168	C0001
scaffold_3	33776446	53201	452211	1575.0917	13388.3535	8.5	C0001
scaffold_4	33230324	51336	415810	1544.854	12512.9686	8.0998	C0001
scaffold_5	32846491	49117	441039	1495.35	13427.279	8.9794	C0001
scaffold_6	29600044	40438	381722	1366.1466	12895.9943	9.4397	C0001
scaffold_7	27901145	36583	376843	1311.1648	13506.3633	10.301	C0001
scaffold_8	26568539	29955	313634	1127.4613	11804.7138	10.4702	C0001
scaffold_9	21488246	18720	283377	871.1739	13187.5352	15.1377	C0001
scaffold_10	13525751	8385	67836	619.9286	5015.3223	8.0902	C0055
scaffold_11	13224960	7626	65184	576.6369	4928.8618	8.5476	C0055
scaffold_12	12098087	6328	60791	523.0579	5024.844	9.6067	C0055
scaffold_13	12036327	5050	58529	419.5632	4862.6961	11.5899	C0055
scaffold_14	11724244	5995	61195	511.3336	5219.5263	10.2077	C0055
scaffold_15	11657766	6105	64229	523.6852	5509.5462	10.5207	C0055
scaffold_16	11532974	5886	62059	510.3627	5381.0058	10.5435	C0055
scaffold_17	11273578	5460	61237	484.3183	5431.9046	11.2156	C0055
scaffold_18	11284610	5671	60427	502.5428	5354.8151	10.6554	C0055
scaffold_19	11122842	5050	61730	454.0207	5549.8406	12.2238	C0055
scaffold_2	21065659	10535	60993	500.103	2895.3758	5.7896	C0055
scaffold_20	11259441	5565	59910	494.2519	5320.8681	10.7655	C0055
scaffold_21	10965443	5356	62048	488.4436	5658.5037	11.5848	C0055
scaffold_22	10969485	5356	63915	488.2636	5826.6181	11.9333	C0055
scaffold_23	11251810	5356	63213	476.0123	5618.0295	11.8023	C0055
scaffold_24	10613514	4005	47987	377.3491	4521.3112	11.9818	C0055
scaffold_25	10520775	5050	62624	480.0027	5952.4132	12.4008	C0055
scaffold_26	10455133	4753	56503	454.6092	5404.3311	11.8879	C0055
scaffold_27	10020731	4186	60113	417.734	5998.8638	14.3605	C0055
scaffold_28	9909570	4278	55523	431.7039	5602.9676	12.9787	C0055
scaffold_29	9785007	4005	56351	409.2997	5758.9126	14.0702	C0055
scaffold_3	17819051	13861	79913	777.8753	4484.6945	5.7653	C0055
scaffold_30	9673251	4005	55464	414.0283	5733.7497	13.8487	C0055
scaffold_31	9620995	3403	49155	353.7056	5109.1389	14.4446	C0055
scaffold_32	9591660	3160	52498	329.4529	5473.2966	16.6133	C0055
scaffold_33	11072122	4950	58934	447.0688	5322.7376	11.9059	C0055
scaffold_34	10104160	4465	57859	441.8972	5726.2553	12.9583	C0055
scaffold_35	8784908	3321	56841	378.0347	6470.3011	17.1156	C0055
scaffold_36	9040454	3403	54002	376.4191	5973.3726	15.8689	C0055
scaffold_37	14046516	8646	68285	615.5263	4861.3478	7.8979	C0055
scaffold_38	8593866	2775	48424	322.9047	5634.7167	17.4501	C0055
scaffold_39	9316256	3655	56771	392.325	6093.757	15.5324	C0055
scaffold_4	18716436	15931	92483	851.177	4941.2719	5.8052	C0055
scaffold_40	8390101	2926	49213	348.7443	5865.6028	16.8192	C0055
scaffold_5	15476122	10584	73391	683.8923	4742.2087	6.9341	C0055
scaffold_6	15364130	10585	69184	688.9424	4502.9559	6.536	C0055
scaffold_7	14577335	9730	69113	667.4745	4741.1272	7.1031	C0055
scaffold_8	14268553	7750	64022	543.1525	4486.9301	8.2609	C0055
scaffold_9	13744587	8128	64967	591.3601	4726.7335	7.993	C0055
scaffold_1	100534318	275844	401923	2743.7795	3997.8687	1.4571	C0080
scaffold_2	71129573	168751	320421	2372.445	4504.7508	1.8988	C0080
scaffold_3	68496016	153569	280287	2242.0136	4092.019	1.8252	C0080
scaffold_4	59986056	130611	321795	2177.356	5364.4967	2.4638	C0080
scaffold_6	51532479	107719	271916	2090.3128	5276.5946	2.5243	C0080
scaffold_7	46387527	79447	270002	1712.6802	5820.5733	3.3985	C0080
scaffold_8	46326872	82852	250638	1788.4221	5410.2077	3.0251	C0080
scaffold_10	13210770	8001	284978	605.6422	21571.6419	35.6178	C0100
scaffold_11	13065310	7750	284105	593.1738	21744.9873	36.6587	C0100
scaffold_12	11809065	6328	260642	535.8595	22071.3494	41.1887	C0100
scaffold_13	10243499	4753	235883	464.0016	23027.5807	49.6282	C0100
scaffold_14	9769561	4465	244553	457.0318	25032.1381	54.7711	C0100
scaffold_15	9801045	1953	103885	199.2645	10599.38	53.1925	C0100
scaffold_16	9579752	4186	224039	436.9633	23386.7223	53.521	C0100
scaffold_17	9339885	4095	234953	438.4422	25155.8772	57.3756	C0100
scaffold_18	9242237	3486	200785	377.1814	21724.7188	57.5975	C0100
scaffold_19	9184779	3916	221794	426.3576	24147.9953	56.6379	C0100
scaffold_20	9139700	3916	219896	428.4605	24059.433	56.1532	C0100
scaffold_21	9126001	3741	216119	409.9276	23681.6761	57.7704	C0100
scaffold_22	8969124	3741	219957	417.0976	24523.7996	58.7963	C0100
scaffold_23	8939983	3741	220726	418.4572	24689.7561	59.0019	C0100
scaffold_24	8625537	3403	212340	394.5262	24617.5977	62.3979	C0100
scaffold_25	8540251	3403	218331	398.466	25564.9395	64.1584	C0100
scaffold_26	8453708	3321	204038	392.8454	24135.9176	61.4387	C0100
scaffold_27	8357229	3160	198666	378.1158	23771.755	62.869	C0100
scaffold_28	8308647	2346	169081	282.3564	20350.004	72.072	C0100
scaffold_29	8249008	3081	200649	373.4995	24324.0157	65.1246	C0100
scaffold_3	15285597	10731	323471	702.0334	21161.8166	30.1436	C0100
scaffold_30	8168588	3081	200430	377.1766	24536.6764	65.0536	C0100
scaffold_31	8172645	2080	118176	254.5076	14459.9453	56.8154	C0100
scaffold_32	8170079	2850	183978	348.8338	22518.5093	64.5537	C0100
scaffold_33	8112736	3081	203454	379.7732	25078.3459	66.0351	C0100
scaffold_34	8020467	2926	194416	364.8167	24239.985	66.4443	C0100
scaffold_35	7890078	2701	185097	342.3287	23459.4639	68.5291	C0100
scaffold_36	7782377	2850	193180	366.212	24822.7502	67.7825	C0100
scaffold_37	7583830	2701	186599	356.1525	24604.8501	69.0852	C0100
scaffold_38	7566908	2628	183612	347.3017	24265.1292	69.8676	C0100
scaffold_39	7521410	2628	192297	349.4026	25566.6158	73.1724	C0100
scaffold_4	14415412	9591	311563	665.3296	21613.1873	32.4849	C0100
scaffold_40	7353535	2485	184848	337.9327	25137.2979	74.3855	C0100
scaffold_41	7419302	2485	180159	334.9372	24282.4729	72.4986	C0100
scaffold_42	7296236	2415	176320	330.9926	24165.885	73.0104	C0100
scaffold_43	7203569	2346	179921	325.6719	24976.647	76.6927	C0100
scaffold_44	6952263	2211	175881	318.0259	25298.3813	79.5482	C0100
scaffold_45	6157525	1770	162419	287.4532	26377.3188	91.7621	C0100
scaffold_46	6080694	1653	147954	271.844	24331.7621	89.5064	C0100
