Species_pair	species	Type	A_compartment_pval	A_compartment_zscore	A_compartment_observed	A_compartment_expected	B_compartment_pval	B_compartment_zscore	B_compartment_observed	B_compartment_expected	TAD_boundaries_pval	TAD_boundaries_zscore	TAD_boundaries_observed	TAD_boundaries_expected	Insulation_score_pval	Insulation_score_zscore	Insulation_score_observed	Insulation_score_expected					
Eligea_Eottomana	Eligea	Fission	0.187781222	-0.9173	419383	573440.7142	0.180481952	0.9385	793292	636042.7227	0.162183782	0.9873	60707	44053.2833	0.162383762	-0.9848	-0.04496532	0.062988399					
Eottomana_Egraucasica	C0055	Fission	0.056694331	-1.5877	1114774	1596624.269	0.236976302	0.7269	2023338	1795024.539	0.00679932	3.0409	262438	159644.7806	0.405559444	-0.2815	0.041276001	0.065936657					
Ecassioides_Erondoui	X3531	Fission	0.00439956	-2.2269	12967	301700.9405	0.00409959	2.3285	632110	335325.1515	0.243275672	-0.62	17983	25572.4701	0.400659934	-0.3519	-0.0156979	0.057275565					
Ecalcaria	C0080	Fusion	0.03289671	1.6672	235577	110897.1554	0.074692531	-1.4437	0	109235.1036	0.03409659	2.0003	40266	19567.2403	0.505749425	-0.1486	0.013864272	0.054599376					
Epluto	C0001	Fusion	0.099590041	-1.2949	158640	380289.1916	0.067493251	1.4814	727050	474489.7316	0.483851615	-0.1732	30500	32596.0469	0.507449255	-0.1746	0.002090646	0.037918071					
Eepiphron	Eepiphron	Fusion	0.087791221	-1.3978	172181	432844.5165	0.136786321	1.2008	694766	466129.3192	0.00979902	2.4549	72943	37085.7863	0.392360764	0.1489	0.119202401	0.091119917					
Egorge	Egorge	Fusion	0.330066993	0.8528	76679	44925.8122	0.372362764	-0.7207	35217	62222.3451	0.615138486	-0.6948	0	3667.6957	0.452354765	-0.2816	-0.063523283	0.0460601					
Emedusa	Emedusa	Fusion	0.240275972	-0.8504	81983	164373.4662	0.174382562	1.0445	320885	218425.6261	0.236376362	-0.9485	10000	20087.5915	0.339866013	0.2882	0.121718207	0.061700675					
Epharte	Epharte	Fusion	0.171482852	-0.9587	318813	508586.3569	0.134486551	-1.1302	623919	875898.8461	0.00059994	4.5902	164707	58372.5114	0.01129887	-2.1145	-0.216221015	0.062919126					
Estirius	Estirius	Fusion	0.481551845	-0.727	4994	22844.3064	0.407459254	0.8636	49791	28443.1897	0.763923608	-0.5128	0	2125.1749	0.01259874	-1.4953	-0.669485333	0.070088463					
Etriaria	Etriaria	Fusion	0.334766523	-1.1086	0	64385.8764	0.369163084	0.5587	103103	70521.7894	0.081191881	0.7153	11500	5672.5395	0.211978802	-0.7123	-0.266768352	0.059956407					
Enivalis	X3258	Fusion	0.298570143	1.1961	96530	46619.1916	0.387361264	-1.024	0	41162.4655	0.638436156	-0.6802	0	3637.0182	0.506149385	-0.206	-0.021755469	0.072574687					
Ecassioides	X3531	Fusion	0.316168383	-0.5384	166125	214882.7968	0.440555944	0.1358	211256	198615.8346	0.019998	2.2592	42500	17992.0344	0.151584842	-0.9657	-0.12177764	0.061054538					
Etyndarus	X3737	Fusion	0.493250675	0.0937	120000	111918.0375	0.238576142	-1.1204	13264	110284.923	0.195680432	0.9533	28000	19028.5068	0.474652535	-0.2363	-0.010202015	0.060195112					
Egorge_hap1	Egorge	Fusion	NA	NA	NA	NA	NA	NA	NA	NA	0.01369863	2.3302	51250	25647.7884	0.00059994	-2.7405	-0.6667064	0.059287529					
Estirius_hap1	Estirius	Fusion	NA	NA	NA	NA	NA	NA	NA	NA	0.635536446	-0.7133	0	3582.2946	0.00209979	-2.1196	-1.012194694	0.063314356					
