TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA	0.001231	0.001027	4.06e-4	2.69e-4	8.08e-4	0.00142	2.83e-4	3.2e-4	7.5e-4	0.00165	0.001144	8.4e-4	7.01e-4	5.85e-4	0.005641	3.81e-4	4.06e-4	3.64e-4	7.35e-4	3.2e-4	3.8e-4	2.2e-4	8.73e-4	0.002424	0.002624	5.64e-4	8.31e-4	3.66e-4	7.94e-4	0.001318	4.1e-4	0.001961	0.001843	0.001133	0.001496	0.001662	7.52e-4	0.001538	0.001308
DNA.Academ-1	6.37e-4	0.001027	3.16e-4	2.38e-4	8.86e-4	0.001337	4.08e-4	2.95e-4	0.001312	0.001396	8.55e-4	9.97e-4	NA	5.92e-4	NA	3.67e-4	2.27e-4	2.99e-4	6.29e-4	0.001207	4.12e-4	1.77e-4	NA	0.00166	0.002882	0.002885	3.2e-4	4.46e-4	6.53e-4	NA	4.96e-4	0.001014	0.001067	0.001019	NA	0.001511	5.13e-4	8.46e-4	0.001009
DNA.CMC-EnSpm	8.45e-4	0.001939	3.16e-4	3.05e-4	8.75e-4	0.001404	2.59e-4	3.37e-4	6.28e-4	0.001479	0.001601	7.91e-4	6.58e-4	0.001983	0.001868	4.04e-4	4.16e-4	4.89e-4	8.02e-4	4.02e-4	5.53e-4	1.86e-4	7.79e-4	0.00274	0.002907	7.53e-4	4.01e-4	3.51e-4	8.41e-4	NA	NA	0.001572	0.001459	0.001294	0.001445	0.002266	6.53e-4	9.44e-4	0.001372
DNA.CMC-Transib	6.37e-4	0.001027	3.16e-4	2.38e-4	7.68e-4	0.001337	1.77e-4	2.95e-4	0.001277	0.001157	0.001027	5.7e-4	5.55e-4	9.75e-4	NA	2.94e-4	2.27e-4	3.59e-4	6.29e-4	2.89e-4	5.56e-4	1.77e-4	NA	0.002778	0.008646	5.18e-4	6.39e-4	2.98e-4	6.53e-4	NA	NA	NA	NA	0.001019	NA	NA	NA	NA	NA
DNA.Merlin	6.37e-4	NA	0.001546	3.37e-4	6.72e-4	NA	NA	2.95e-4	8.26e-4	0.002184	8.55e-4	NA	5.55e-4	5.57e-4	NA	NA	2.27e-4	2.99e-4	0.001183	3.84e-4	NA	2.56e-4	8.66e-4	0.01868	0.002882	8.63e-4	9.59e-4	2.98e-4	0.001697	NA	NA	NA	NA	NA	0.001379	NA	5.13e-4	9.67e-4	0.001514
DNA.P	9.91e-4	0.001607	6.69e-4	2.7e-4	8.53e-4	0.001687	2.42e-4	3.98e-4	6.98e-4	0.001522	0.001358	6.57e-4	6.73e-4	7.66e-4	0.001838	3.31e-4	2.77e-4	4.4e-4	8.33e-4	3.8e-4	3.67e-4	2.06e-4	0.001066	0.002412	0.002676	8.2e-4	6.4e-4	3.44e-4	7.94e-4	0.001821	0.001023	0.001487	0.001482	0.001162	0.001235	0.001684	9.31e-4	9.54e-4	0.001307
DNA.PIF-Harbinger	0.001071	0.00144	4.54e-4	3.16e-4	8.27e-4	0.001597	2.44e-4	3.47e-4	7.3e-4	0.001804	0.001368	8.31e-4	6.14e-4	6.58e-4	0.00219	3.44e-4	2.87e-4	5.12e-4	8.08e-4	4.21e-4	4.85e-4	2.13e-4	8.77e-4	0.002482	0.003165	6.21e-4	7.34e-4	3.7e-4	9.18e-4	0.001122	5.93e-4	0.001773	0.001851	0.001321	0.001289	0.001827	8.63e-4	0.00124	0.001256
DNA.PiggyBac	6.37e-4	0.001867	4.57e-4	5.6e-4	8.12e-4	0.001337	3.83e-4	2.95e-4	6.77e-4	0.002181	0.001369	5.7e-4	5.55e-4	6.5e-4	0.001538	3.38e-4	4.85e-4	5.56e-4	6.81e-4	2.89e-4	4.09e-4	2.01e-4	NA	0.002262	0.001891	7.81e-4	5.14e-4	3.57e-4	7.13e-4	0.004543	4.13e-4	0.001217	0.001067	0.001586	0.001204	0.001511	5.13e-4	8.46e-4	0.001297
DNA.Sola-1	0.001147	NA	NA	2.38e-4	0.001411	0.004011	3.1e-4	2.95e-4	9.86e-4	0.0017	0.001166	NA	5.55e-4	7.8e-4	0.001538	3.7e-4	4.86e-4	7.27e-4	8.91e-4	0.003181	3.09e-4	1.77e-4	7.14e-4	0.002491	0.023487	5.18e-4	NA	2.98e-4	0.002947	NA	NA	NA	0.001779	NA	NA	0.001511	5.39e-4	8.46e-4	0.001009
DNA.TcMar-Fot1	0.001345	0.001276	4.68e-4	2.87e-4	7.46e-4	0.001553	2.61e-4	3.24e-4	6.26e-4	0.001343	0.001654	0.001103	5.78e-4	6.64e-4	0.002051	3.66e-4	3.11e-4	9.87e-4	6.86e-4	3.32e-4	5.92e-4	1.95e-4	7.69e-4	0.002751	0.002762	6.61e-4	4.58e-4	3.74e-4	7.39e-4	0.002565	NA	0.00195	0.001467	0.00109	0.001182	0.001678	0.001155	0.001295	0.001211
DNA.TcMar-Mariner	0.001136	0.001517	5.06e-4	2.72e-4	8.21e-4	0.001458	2.5e-4	3.45e-4	7.2e-4	0.001458	0.001351	8.43e-4	6.64e-4	7.03e-4	0.002145	3.37e-4	2.69e-4	4.38e-4	7.28e-4	3.72e-4	4.48e-4	2.15e-4	8.72e-4	0.002379	0.002923	6.36e-4	5.34e-4	3.55e-4	8.02e-4	0.001286	3.66e-4	0.001649	0.001862	0.001262	0.001167	0.001825	9.52e-4	0.001258	0.001327
DNA.TcMar-Tc1	9.22e-4	0.001737	4.43e-4	3.33e-4	8.88e-4	0.001337	2.65e-4	5.06e-4	6.06e-4	0.002238	0.001277	5.7e-4	6.28e-4	6.18e-4	0.003077	2.74e-4	2.77e-4	3.4e-4	7.96e-4	3.51e-4	5.73e-4	4.74e-4	8.48e-4	0.002809	0.002402	7.68e-4	4.14e-4	3.7e-4	8.85e-4	0.001207	3.22e-4	0.001352	0.001601	0.003738	0.001391	0.001511	6.27e-4	0.001692	0.001009
DNA.TcMar-m44	6.37e-4	0.001711	6.52e-4	2.51e-4	7.64e-4	NA	1.77e-4	4.42e-4	6.42e-4	0.001189	0.001369	5.7e-4	0.001161	0.001767	0.005	2.98e-4	2.32e-4	8.98e-4	6.88e-4	3.4e-4	3.48e-4	2.07e-4	0.001429	0.001816	0.003636	6.62e-4	4.51e-4	3.64e-4	7.61e-4	0.002806	2.56e-4	0.001014	0.001304	0.001019	0.00156	0.001627	0.001027	0.002397	0.001233
