TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA	0.001693	0.001027	4.43e-4	2.67e-4	8.31e-4	0.001491	3.05e-4	3.66e-4	7.38e-4	0.001541	0.001365	7.88e-4	8.53e-4	6.27e-4	0.003419	3.48e-4	3.86e-4	3.43e-4	7.16e-4	3.14e-4	3.9e-4	2.1e-4	0.001	0.002428	0.002676	6.12e-4	7.63e-4	3.63e-4	7.59e-4	0.001317	4.1e-4	0.001826	0.001885	0.001104	0.001348	0.001618	7.52e-4	0.001622	0.0015790000000000001
DNA.Academ-1	8.76e-4	0.001027	3.16e-4	2.97e-4	8.47e-4	0.001337	4.08e-4	2.95e-4	0.001258	0.001556	0.001176	9.97e-4	NA	6.55e-4	NA	3.67e-4	2.55e-4	2.99e-4	6.29e-4	0.001148	4.94e-4	1.77e-4	7.14e-4	0.002724	0.002676	0.001158	3.2e-4	4.46e-4	6.53e-4	NA	4.96e-4	0.001014	0.001067	0.001019	NA	0.001511	5.13e-4	8.46e-4	0.001009
DNA.CMC-EnSpm	8.77e-4	0.001751	5.06e-4	2.91e-4	8.39e-4	0.001405	2.58e-4	3.37e-4	6.65e-4	0.001483	0.001291	7.33e-4	6.55e-4	0.001537	0.002024	3.85e-4	3.74e-4	4.39e-4	7.58e-4	3.8e-4	7.27e-4	1.86e-4	7.5e-4	0.002553	0.003476	7.24e-4	4.08e-4	3.43e-4	8.02e-4	NA	NA	0.001379	0.001372	0.001219	0.001351	0.001953	6.93e-4	9.09e-4	0.001248
DNA.CMC-Transib	9.55e-4	0.001027	3.16e-4	2.38e-4	7.43e-4	0.001604	1.77e-4	3.54e-4	0.00119	0.001157	0.001308	7.6e-4	5.55e-4	7.59e-4	NA	3.08e-4	2.27e-4	3.49e-4	6.29e-4	2.89e-4	5.15e-4	2.36e-4	7.14e-4	0.002669	0.003602	5.92e-4	5.33e-4	2.98e-4	6.53e-4	NA	NA	NA	0.002668	0.001019	NA	0.001511	NA	NA	0.002018
DNA.Merlin	6.37e-4	NA	0.001546	3.29e-4	6.72e-4	NA	NA	2.95e-4	7.88e-4	0.002315	0.001046	NA	5.55e-4	4.98e-4	NA	NA	2.27e-4	2.99e-4	0.001029	3.56e-4	NA	2.32e-4	9.44e-4	0.007057	0.002882	9.03e-4	9.59e-4	2.98e-4	0.001456	NA	NA	NA	NA	NA	0.001314	0.001511	5.13e-4	9.67e-4	0.001451
DNA.P	0.001004	0.00152	6.06e-4	2.73e-4	8.88e-4	0.001573	2.33e-4	3.99e-4	6.83e-4	0.001454	0.001348	6.8e-4	7.09e-4	7.66e-4	0.002051	3.37e-4	2.69e-4	4.7e-4	8.15e-4	3.61e-4	3.94e-4	2.11e-4	0.00102	0.002441	0.002635	8.06e-4	5.98e-4	3.42e-4	8.13e-4	0.001777	0.001023	0.001433	0.001526	0.001203	0.001215	0.001626	0.001141	0.001024	0.001263
DNA.PIF-Harbinger	0.001041	0.001448	5.06e-4	2.99e-4	8.27e-4	0.001546	2.4e-4	3.39e-4	7.05e-4	0.001742	0.00133	8.27e-4	6.15e-4	6.77e-4	0.002209	3.41e-4	2.79e-4	4.87e-4	7.68e-4	3.93e-4	4.99e-4	2.13e-4	8.83e-4	0.002436	0.00301	6.2e-4	7.64e-4	3.64e-4	8.76e-4	0.001122	5.93e-4	0.001787	0.001814	0.00142	0.001316	0.001955	8.69e-4	0.001195	0.001235
DNA.PiggyBac	6.37e-4	0.001737	4.43e-4	4.88e-4	7.73e-4	0.001337	3.54e-4	3.38e-4	6.45e-4	0.001867	0.001733	6.77e-4	7.19e-4	5.99e-4	0.001538	3.59e-4	4.59e-4	5.08e-4	6.6e-4	2.89e-4	4.01e-4	2.16e-4	NA	0.015585	0.002161	7.43e-4	5.06e-4	3.54e-4	7.14e-4	0.004543	4.13e-4	0.001521	0.001708	0.001411	0.001407	0.001511	5.13e-4	0.00141	0.001211
DNA.Sola-1	0.001147	NA	NA	2.38e-4	0.001248	0.002228	2.38e-4	2.95e-4	8.83e-4	0.001668	0.001141	5.7e-4	5.55e-4	7.86e-4	0.001538	4.39e-4	0.001236	8.08e-4	8.81e-4	0.003011	3.09e-4	2.21e-4	7.14e-4	0.003469	0.021483	5.18e-4	NA	2.98e-4	0.002816	NA	NA	0.003043	0.001779	0.001019	NA	0.001511	5.38e-4	8.46e-4	0.001009
DNA.TcMar-Fot1	0.001199	0.001581	4.83e-4	2.76e-4	7.92e-4	0.001513	2.64e-4	3.48e-4	5.94e-4	0.00129	0.001532	0.001094	5.69e-4	6.61e-4	0.00188	3.84e-4	3e-4	9.46e-4	7.26e-4	3.3e-4	5.09e-4	1.91e-4	8.83e-4	0.002468	0.003045	6.59e-4	0.001609	3.75e-4	7.37e-4	0.002565	NA	0.001739	0.00166	0.001078	0.001113	0.001798	9.41e-4	0.001511	0.001269
