repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA	159.44	147.88	170.34	130.10	135.18	132.19	166.41	173.72	141.65	145.78	161.84	154.54	158.71	162.58	162.58	146.31	156.53	152.38	158.91	150.54	138.19	146.04	195.03	148.90	177.42	171.02	156.16	191.28	191.28	157.97	166.54	143.76	92.00	138.16	147.68	192.80	172.18	153.93	205.63	150.43	148.37
DNA.Academ-1	173.65	182.44	179.62	190.12	188.97	176.84	288.65	225.84	191.36	190.79	167.36	253.87	193.49	270.65	270.65	337.13	301.31	256.44	155.96	266.78	183.13	198.69	217.07	185.01	225.62	207.88	185.72	226.19	226.19	154.13	231.30	191.70	138.13	558.73	353.93	227.88	183.39	404.66	202.17	205.54	186.19
DNA.CMC-Chapaev	NA	NA	NA	60.00	NA	NA	NA	NA	NA	NA	NA	57.00	46.00	52.50	52.50	NA	94.00	58.50	97.00	53.50	70.00	NA	NA	62.00	NA	NA	30.00	61.00	61.00	73.50	70.00	NA	79.00	73.00	NA	NA	NA	NA	85.00	NA	NA
DNA.CMC-Chapaev-3	282.59	185.03	237.47	208.96	260.00	202.77	274.89	286.64	352.97	329.88	270.50	210.79	308.35	267.77	267.77	296.69	323.53	223.02	226.38	236.38	200.57	314.20	260.47	162.72	319.29	273.80	245.64	249.47	249.47	229.56	213.53	370.42	127.57	309.85	323.33	310.21	239.86	444.33	246.51	271.38	203.87
DNA.CMC-EnSpm	237.20	240.04	244.14	240.52	234.72	236.76	233.89	243.93	288.15	287.27	240.45	237.23	231.39	240.30	240.30	230.28	226.96	241.75	227.56	235.18	231.13	239.64	237.17	228.73	238.51	247.11	246.59	240.92	240.92	231.76	233.62	59.15	69.12	225.40	229.82	260.71	245.28	237.31	241.65	243.33	251.46
DNA.CMC-Transib	126.73	182.61	144.08	129.62	110.01	116.17	132.01	171.62	102.25	101.27	186.40	101.05	126.10	125.17	125.17	114.16	111.34	137.07	117.37	289.50	126.42	124.41	120.55	123.27	193.20	130.08	192.86	132.17	132.17	113.31	116.56	371.24	151.96	131.63	99.95	236.77	190.68	123.94	122.67	159.08	157.96
DNA.Crypton-I	80.46	91.17	207.03	152.63	93.93	119.28	90.59	104.81	133.35	134.48	89.02	94.79	93.00	97.06	97.06	94.24	97.03	101.08	97.87	84.09	87.67	121.70	89.36	92.07	97.94	94.75	222.54	92.92	92.92	101.85	109.22	NA	NA	88.86	86.62	91.08	392.81	99.95	83.67	193.80	282.19
DNA.Ginger-2	239.35	177.62	197.34	251.04	128.84	196.97	211.70	629.40	257.64	193.99	371.02	135.44	337.57	335.71	335.71	177.12	207.88	283.00	133.54	202.00	209.34	161.64	174.16	132.25	371.00	263.23	290.41	369.99	369.99	158.39	321.76	NA	NA	252.22	302.79	503.70	252.35	158.08	207.06	242.51	287.97
DNA.hAT	154.30	161.43	145.60	143.85	142.03	153.89	168.38	154.11	120.47	93.08	166.59	165.16	216.10	141.63	141.63	128.06	159.45	169.24	165.99	158.95	150.88	152.94	145.36	131.07	170.57	156.74	146.85	169.45	169.45	163.39	186.44	105.05	70.57	133.26	120.18	274.74	161.08	171.62	182.35	143.08	170.25
DNA.hAT-Ac	124.44	140.78	142.14	137.84	122.49	140.38	133.78	126.05	116.55	107.88	122.32	116.15	123.66	125.97	125.97	121.20	125.34	132.46	115.95	146.74	110.44	113.57	149.63	113.64	120.61	152.62	148.05	151.38	151.38	113.76	141.56	109.91	95.73	123.50	122.78	153.10	145.06	148.23	151.18	140.45	141.17
DNA.hAT-Blackjack	134.01	184.81	203.84	205.48	134.43	136.44	139.24	129.10	88.36	86.73	122.47	113.87	152.13	175.66	175.66	150.87	119.59	158.04	151.83	144.38	123.57	122.51	138.80	123.31	125.47	139.12	208.95	156.29	156.29	154.00	148.29	117.70	122.72	139.08	129.43	164.50	237.56	134.97	169.68	235.72	205.58
DNA.hAT-Charlie	206.62	183.44	164.20	161.89	244.62	143.57	332.24	272.89	249.23	242.68	242.74	291.68	272.99	171.55	171.55	306.14	321.72	181.03	317.33	236.58	136.16	150.92	214.48	137.01	254.66	208.66	154.04	217.81	217.81	317.34	180.64	103.44	156.39	285.77	303.81	171.93	168.77	280.01	210.01	163.13	160.10
DNA.hAT-hAT19	48.50	51.50	NA	NA	51.00	NA	NA	59.00	75.00	NA	NA	58.00	NA	NA	NA	32.00	69.50	NA	43.00	61.00	51.50	47.00	59.00	59.00	NA	62.00	51.00	NA	NA	43.00	NA	106.00	NA	47.00	NA	47.00	NA	47.67	NA	NA	NA
DNA.hAT-hAT5	NA	51.00	51.00	47.00	NA	NA	NA	NA	NA	NA	72.00	56.00	NA	74.00	74.00	NA	NA	72.00	NA	NA	NA	NA	72.00	74.00	NA	72.00	51.00	NA	NA	NA	72.00	NA	NA	NA	72.00	NA	51.00	NA	72.00	51.00	51.00
DNA.hAT-hATm	111.82	251.25	234.80	101.17	74.33	193.54	143.75	74.00	122.76	86.74	103.75	44.00	87.67	137.71	137.71	46.00	58.67	211.92	113.18	242.59	82.00	114.07	172.25	76.00	245.80	327.09	151.00	140.75	140.75	161.00	259.97	155.29	139.12	107.25	166.00	160.25	89.93	145.73	221.17	163.85	147.50
DNA.hAT-hATx	193.58	204.45	162.84	203.06	113.77	199.90	152.33	269.06	216.16	201.10	215.61	150.65	204.27	234.84	234.84	190.24	169.10	137.59	189.56	112.06	204.06	193.00	116.10	221.21	247.93	93.44	176.26	113.90	113.90	202.28	179.00	118.72	78.67	134.39	113.55	390.27	204.83	253.95	107.83	164.33	192.61
