species	chrom	A_perc	B_perc
C0001	scaffold_16	38.8734	58.0842
C0001	scaffold_8	52.995	37.6385
C0001	scaffold_17	42.2895	54.1398
C0001	scaffold_9	40.208	48.5847
C0001	scaffold_18	51.2834	45.2923
C0001	scaffold_19	42.7257	53.4711
C0001	scaffold_1	49.9831	42.3364
C0001	scaffold_10	41.0827	56.4388
C0001	scaffold_2	38.7964	57.8601
C0001	scaffold_11	42.6939	53.8661
C0001	scaffold_3	50.2125	46.3045
C0001	scaffold_12	45.1535	51.633
C0001	scaffold_4	43.2135	53.3248
C0001	scaffold_13	47.1443	50.0648
C0001	scaffold_5	46.1541	48.5897
C0001	scaffold_14	38.0483	58.9749
C0001	scaffold_6	45.6756	49.9999
C0001	scaffold_15	36.3636	56.1167
C0001	scaffold_7	42.0054	54.6214
C0055	scaffold_20	35.881	56.8412
C0055	scaffold_21	42.3148	51.0695
C0055	scaffold_22	40.8406	52.1447
C0055	scaffold_23	41.9488	49.0588
C0055	scaffold_24	40.7028	46.7329
C0055	scaffold_25	49.8062	43.723
C0055	scaffold_26	37.4935	54.3274
C0055	scaffold_40	58.6405	31.4657
C0055	scaffold_27	35.5264	57.0817
C0055	scaffold_28	39.1541	51.6672
C0055	scaffold_29	40.4701	51.0986
C0055	scaffold_10	36.6708	57.9635
C0055	scaffold_1	43.7264	51.8805
C0055	scaffold_11	34.7827	56.2573
C0055	scaffold_2	46.3313	27.1532
C0055	scaffold_12	39.6757	52.5703
C0055	scaffold_3	37.039	55.8952
C0055	scaffold_13	55.831	29.9095
C0055	scaffold_4	36.3127	58.3444
C0055	scaffold_14	32.0703	61.07
C0055	scaffold_5	41.0956	51.6925
C0055	scaffold_15	41.1743	50.7816
C0055	scaffold_6	42.9572	51.0279
C0055	scaffold_7	36.2206	58.9957
C0055	scaffold_16	37.8046	54.4526
C0055	scaffold_30	44.2457	47.1403
C0055	scaffold_17	43.2871	48.964
C0055	scaffold_8	46.5359	40.9292
C0055	scaffold_31	29.103	56.1273
C0055	scaffold_18	34.3831	59.9046
C0055	scaffold_9	38.1241	54.4214
C0055	scaffold_32	62.9714	20.4344
C0055	scaffold_19	44.5929	45.6718
C0055	scaffold_33	35.7655	53.4676
C0055	scaffold_34	43.1505	50.2763
C0055	scaffold_35	34.1495	58.2818
C0055	scaffold_36	38.4936	52.2098
C0055	scaffold_37	44.7086	48.1258
C0055	scaffold_38	37.2359	50.2684
C0055	scaffold_39	39.0715	51.9522
C0080	scaffold_8	37.9046	53.7917
C0080	scaffold_9	5.2441	4.3701
C0080	scaffold_1	56.4583	37.6389
C0080	scaffold_2	40.9394	53.761
C0080	scaffold_3	45.1997	47.594
C0080	scaffold_4	52.4122	42.1431
C0080	scaffold_5	64.1923	31.4354
C0080	scaffold_6	43.3901	51.3074
C0080	scaffold_7	45.2708	45.8744
C0100	scaffold_20	38.951	56.457
C0100	scaffold_21	34.6263	59.6099
C0100	scaffold_22	58.4227	37.0159
C0100	scaffold_23	52.3491	43.4005
C0100	scaffold_24	41.2728	53.7938
C0100	scaffold_25	46.837	49.1789
C0100	scaffold_26	42.1117	53.4677
C0100	scaffold_40	39.7088	54.9396
C0100	scaffold_27	36.8543	57.9139
C0100	scaffold_41	54.9917	39.8959
C0100	scaffold_28	37.0698	44.2912
C0100	scaffold_42	41.1171	54.2746
C0100	scaffold_29	38.7925	56.2492
C0100	scaffold_43	46.6435	48.3094
C0100	scaffold_44	48.9049	46.6035
C0100	scaffold_45	46.0822	49.3705
C0100	scaffold_46	39.4692	54.599
C0100	scaffold_47	43.4081	49.5123
C0100	scaffold_48	41.3891	53.6023
C0100	scaffold_49	66.3665	29.6531
C0100	scaffold_10	39.6646	55.7121
C0100	scaffold_1	45.1923	51.8955
C0100	scaffold_11	48.9847	45.9231
C0100	scaffold_2	41.6637	55.8519
C0100	scaffold_12	38.9531	55.5505
C0100	scaffold_3	39.5143	55.7387
C0100	scaffold_13	49.2019	46.078
C0100	scaffold_4	37.7374	57.716
C0100	scaffold_14	53.2265	42.5812
C0100	scaffold_5	42.0246	52.6747
C0100	scaffold_15	36.7308	25.3034
C0100	scaffold_6	40.5783	55.0705
C0100	scaffold_7	41.314	54.4064
C0100	scaffold_16	45.9302	48.0179
C0100	scaffold_30	39.1745	55.3339
C0100	scaffold_17	44.9684	51.3925
C0100	scaffold_8	39.7469	56.6093
C0100	scaffold_31	32.7923	46.0071
C0100	scaffold_18	43.2796	45.8763
C0100	scaffold_9	37.7599	57.9992
C0100	scaffold_32	44.5528	47.0008
C0100	scaffold_19	34.8403	60.5349
C0100	scaffold_33	33.0345	62.1245
C0100	scaffold_34	31.9183	62.3405
C0100	scaffold_35	45.6269	47.1478
