species	chrom	TAD_size	TAD_size_kb
C0001	scaffold_16	297771.93	297.77193
C0001	scaffold_8	286077.78	286.07778
C0001	scaffold_17	258437.5	258.4375
C0001	scaffold_9	287500	287.5
C0001	scaffold_18	236279.41	236.27941
C0001	scaffold_19	240540.98	240.54098
C0001	scaffold_1	284657.53	284.65753
C0001	scaffold_10	258026.67	258.02667
C0001	scaffold_2	295689.66	295.68966
C0001	scaffold_11	254864.86	254.86486
C0001	scaffold_3	292327.43	292.32743
C0001	scaffold_12	252710.53	252.71053
C0001	scaffold_4	294783.78	294.78378
C0001	scaffold_13	272588.24	272.58824
C0001	scaffold_5	273550.85	273.55085
C0001	scaffold_14	328454.55	328.45455
C0001	scaffold_6	300072.92	300.07292
C0001	scaffold_15	365697.67	365.69767
C0001	scaffold_7	264336.54	264.33654
C0055	scaffold_20	284342.11	284.34211
C0055	scaffold_21	263300	263.3
C0055	scaffold_22	261871.79	261.87179
C0055	scaffold_23	263300	263.3
C0055	scaffold_24	267684.21	267.68421
C0055	scaffold_25	275500	275.5
C0055	scaffold_26	275614.29	275.61429
C0055	scaffold_40	256233.33	256.23333
C0055	scaffold_27	268257.14	268.25714
C0055	scaffold_28	294718.75	294.71875
C0055	scaffold_29	253628.57	253.62857
C0055	scaffold_10	325575	325.575
C0055	scaffold_1	272914.89	272.91489
C0055	scaffold_11	299925	299.925
C0055	scaffold_2	353736.84	353.73684
C0055	scaffold_12	308526.32	308.52632
C0055	scaffold_3	288844.83	288.84483
C0055	scaffold_13	308621.62	308.62162
C0055	scaffold_4	295283.33	295.28333
C0055	scaffold_14	278024.39	278.02439
C0055	scaffold_5	278314.81	278.31481
C0055	scaffold_15	276842.11	276.84211
C0055	scaffold_6	265428.57	265.42857
C0055	scaffold_7	283645.83	283.64583
C0055	scaffold_16	286432.43	286.43243
C0055	scaffold_30	295451.61	295.45161
C0055	scaffold_17	256904.76	256.90476
C0055	scaffold_8	254888.89	254.88889
C0055	scaffold_31	299232.14	299.23214
C0055	scaffold_18	286459.46	286.45946
C0055	scaffold_9	281489.36	281.48936
C0055	scaffold_32	266406.25	266.40625
C0055	scaffold_19	281418.92	281.41892
C0055	scaffold_33	253487.8	253.4878
C0055	scaffold_34	241076.92	241.07692
C0055	scaffold_35	373619.05	373.61905
C0055	scaffold_36	298068.97	298.06897
C0055	scaffold_37	272142.86	272.14286
C0055	scaffold_38	304640	304.64
C0055	scaffold_39	322166.67	322.16667
C0080	scaffold_8	285411.39	285.41139
C0080	scaffold_9	2961666.67	2961.66667
C0080	scaffold_1	306374.23	306.37423
C0080	scaffold_2	303103	303.103
C0080	scaffold_3	304771.3	304.7713
C0080	scaffold_4	282000	282
C0080	scaffold_5	298735.45	298.73545
C0080	scaffold_6	278618.78	278.61878
C0080	scaffold_7	275680.72	275.68072
C0100	scaffold_20	260000	260
C0100	scaffold_21	360391.3	360.3913
C0100	scaffold_22	258906.25	258.90625
C0100	scaffold_23	319320	319.32
C0100	scaffold_24	300846.15	300.84615
C0100	scaffold_25	310884.62	310.88462
C0100	scaffold_26	246656.25	246.65625
C0100	scaffold_40	256833.33	256.83333
C0100	scaffold_27	347227.27	347.22727
C0100	scaffold_41	292478.26	292.47826
C0100	scaffold_28	372150	372.15
C0100	scaffold_42	335150	335.15
C0100	scaffold_29	278346.15	278.34615
C0100	scaffold_43	305142.86	305.14286
C0100	scaffold_44	226500	226.5
C0100	scaffold_45	273600	273.6
C0100	scaffold_46	277150	277.15
C0100	scaffold_47	323794.12	323.79412
C0100	scaffold_48	270526.32	270.52632
C0100	scaffold_49	332312.5	332.3125
C0100	scaffold_10	279333.33	279.33333
C0100	scaffold_1	264335.77	264.33577
