species	chrom	avg_slope_loglog
C0001	scaffold_1	-0.8619041070205948
C0001	scaffold_10	-0.749825709901538
C0001	scaffold_11	-0.6438202074412797
C0001	scaffold_12	-0.679774199543166
C0001	scaffold_13	-0.6867596947782141
C0001	scaffold_14	-0.6492448123400407
C0001	scaffold_15	-0.5616728190792541
C0001	scaffold_16	-0.5923433622111363
C0001	scaffold_17	-0.5731922605967613
C0001	scaffold_18	-0.5742764771742201
C0001	scaffold_19	-0.533856885571305
C0001	scaffold_2	-0.7745863046634265
C0001	scaffold_3	-0.9340481765772954
C0001	scaffold_4	-0.771678921619609
C0001	scaffold_5	-0.8511469148804829
C0001	scaffold_6	-0.7823235935961929
C0001	scaffold_7	-0.7937384859740898
C0001	scaffold_8	-0.8360147240516707
C0001	scaffold_9	-0.6812053689797274
C0055	scaffold_1	-0.9356734778812289
C0055	scaffold_10	-0.471023799956285
C0055	scaffold_11	-0.3871639634115322
C0055	scaffold_12	-0.3920136196179186
C0055	scaffold_13	-0.3936520796229905
C0055	scaffold_14	-0.32844965110107704
C0055	scaffold_15	-0.36540637888003175
C0055	scaffold_16	-0.38781837820863324
C0055	scaffold_17	-0.4837419136171298
C0055	scaffold_18	-0.5582689234969778
C0055	scaffold_19	-0.4331445131743018
C0055	scaffold_2	-1.1982318827793397
C0055	scaffold_20	-0.305779219137684
C0055	scaffold_21	-0.38471615381113816
C0055	scaffold_22	-0.5853971857655315
C0055	scaffold_23	-0.3359898583079607
C0055	scaffold_24	-0.6216283481495497
C0055	scaffold_25	-0.4553462840247106
C0055	scaffold_26	-0.21034813866180543
C0055	scaffold_27	-0.3610083493170692
C0055	scaffold_28	-0.549065793795998
C0055	scaffold_29	-0.40356534339290134
C0055	scaffold_3	-0.6540279743397719
C0055	scaffold_30	-0.47003621235948057
C0055	scaffold_31	-0.3312292928151847
C0055	scaffold_32	-0.6892466415565827
C0055	scaffold_33	-0.2842180288377195
C0055	scaffold_34	-0.3718069068927181
C0055	scaffold_35	-0.2082303002288828
C0055	scaffold_36	-0.36487875587518964
C0055	scaffold_37	-0.4761177501026462
C0055	scaffold_38	-0.3040880030590983
C0055	scaffold_39	-0.3896831466329635
C0055	scaffold_4	-0.6611729747067963
C0055	scaffold_40	-0.163012809249802
C0055	scaffold_5	-0.7523835450318613
C0055	scaffold_6	-0.5652897684335237
C0055	scaffold_7	-0.4216005567530573
C0055	scaffold_8	-0.7960344932285128
C0055	scaffold_9	-0.49765316627376177
C0080	scaffold_1	-1.0540707760388426
C0080	scaffold_2	-1.0579692585564007
C0080	scaffold_3	-1.0403523653444473
C0080	scaffold_4	-1.1118806973970676
C0080	scaffold_5	-1.170309059725316
C0080	scaffold_6	-1.0372962508085641
C0080	scaffold_7	-1.098694202629115
C0080	scaffold_8	-1.1116062024571667
C0080	scaffold_9	1.3859906559187383
C0100	scaffold_1	-0.851608676614118
C0100	scaffold_10	-0.33238102754009835
C0100	scaffold_11	-0.48881523328229237
