species	chrom	strength
C0001	scaffold_1	2.8285857161237167
C0001	scaffold_2	2.894160441382395
C0001	scaffold_3	2.7745358891161533
C0001	scaffold_4	3.203070204416912
C0001	scaffold_5	2.7863056913368016
C0001	scaffold_6	3.013304230856104
C0001	scaffold_7	2.731582407225941
C0001	scaffold_8	3.5025483667712343
C0001	scaffold_9	2.9489049261365343
C0001	scaffold_10	3.436698758945211
C0001	scaffold_11	3.411005679764782
C0001	scaffold_12	3.6716586046917468
C0001	scaffold_13	3.7849639944142983
C0001	scaffold_14	4.184985368876022
C0001	scaffold_15	4.373279222815577
C0001	scaffold_16	3.740230007629367
C0001	scaffold_17	2.90487011683211
C0001	scaffold_18	4.083576135156235
C0001	scaffold_19	3.189190210388678
C0001	scaffold_20	
C0055	scaffold_1	3.1136113708857844
C0055	scaffold_2	3.926629375301294
C0055	scaffold_4	4.330462483514941
C0055	scaffold_3	4.545127635461662
C0055	scaffold_5	3.4676118883856297
C0055	scaffold_6	4.016971880534064
C0055	scaffold_7	3.4570537423442422
C0055	scaffold_8	4.174986596742226
C0055	scaffold_37	4.638367522804266
C0055	scaffold_9	3.8840096772198978
C0055	scaffold_10	5.3378810215865355
C0055	scaffold_11	4.133009893242839
C0055	scaffold_12	4.25906370774753
C0055	scaffold_13	4.42330791514811
C0055	scaffold_14	3.739636850670543
C0055	scaffold_15	4.620024284955147
C0055	scaffold_16	3.9394801769704357
C0055	scaffold_18	3.6952401853494146
C0055	scaffold_17	4.232248961830835
C0055	scaffold_20	4.706125415268452
C0055	scaffold_23	5.253465630474066
C0055	scaffold_19	4.480531825882781
C0055	scaffold_33	4.160782708424557
C0055	scaffold_22	4.600239942071698
C0055	scaffold_21	4.287256841001755
C0055	scaffold_24	3.9836490159982523
C0055	scaffold_25	4.78219337229953
C0055	scaffold_26	4.2224615334669515
C0055	scaffold_34	3.553812511304981
C0055	scaffold_27	5.499116899370563
C0055	scaffold_28	5.197858855193496
C0055	scaffold_29	5.187089751075244
C0055	scaffold_30	3.340337399069329
C0055	scaffold_31	4.37979866187224
C0055	scaffold_32	3.805319896730782
C0055	scaffold_39	4.646899551716106
C0055	scaffold_36	4.178273631139157
