species	Z1	W	Z2	W2
Emeolans	scaffold_15	scaffold_14	NONE	NONE
Epalarica	scaffold_14	NONE	NONE	NONE
Emedusa	scaffold_12	scaffold_11	NONE	NONE
Etriaria	scaffold_2	scaffold_17	scaffold_4	NONE
Ealbergana	scaffold_18	scaffold_17	NONE	NONE
Emnestra	scaffold_12	NONE	NONE	NONE
Egorge	scaffold_21	scaffold_20	NONE	scaffold_19
C0001	scaffold_1	scaffold_20	scaffold_15	NONE
Emelancholica	scaffold_23	scaffold_22	NONE	NONE
Estirius	scaffold_21	NONE	NONE	NONE
Emontana	scaffold_2	scaffold_24	scaffold_4	NONE
Epronoe	scaffold_2	scaffold_21	scaffold_4	NONE
X3506	scaffold_2	scaffold_24	NONE	NONE
X3311	scaffold_5	scaffold_15_16	NONE	NONE
Eepiphron	scaffold_16	NONE	NONE	NONE
Epharte	scaffold_20	NONE	NONE	NONE
Echristi	scaffold_20	NONE	NONE	NONE
Eflavofasciata	scaffold_2	scaffold_21	scaffold_4	NONE
Eaethiops	scaffold_20	scaffold_19	NONE	NONE
Esudetica	scaffold_21	scaffold_20	NONE	NONE
Emelampus	scaffold_21	scaffold_20	NONE	NONE
Erondoui	scaffold_2	scaffold_25	scaffold_4	NONE
X3531	scaffold_2	scaffold_11	NONE	NONE
X3737	scaffold_2	scaffold_11	NONE	NONE
X3258	scaffold_1	scaffold_12	NONE	NONE
C0080	scaffold_5	scaffold_9	NONE	NONE
C0100	scaffold_1	scaffold_52	scaffold_2	NONE
C0055	scaffold_1	NONE	NONE	NONE
Eligea	scaffold_29	NONE	NONE	NONE
Eeriphyle	scaffold_30	scaffold_29	NONE	NONE
X2575	scaffold_6	NONE	NONE	NONE
X2576	scaffold_7	scaffold_29	NONE	NONE
Ebubastis	scaffold_30	scaffold_29	NONE	NONE
Emanto	scaffold_29	NONE	NONE	NONE
X3252	scaffold_1	scaffold_29	NONE	NONE
Edisa	scaffold_29	NONE	NONE	NONE
Eembla	scaffold_29	NONE	NONE	NONE
