species	strength	median_autosome_size	karyotype	nb_fusions	nb_fusions_tip	nb_fissions	nb_fissions_tip	size	repeat_proportion	repeats_nooverlap	GC level
C0001	3.220126713	20057127	19	10	4	0	0	482.43	56.98	56.61944406	37.53
C0055	4.078633165	11251810	40	11	0	20	15	503.74	58.33	54.58640798	36.92
C0080	3.713185939	59986056	8	26	4	5	0	515.64	59.39	55.46697293	36.65
C0100	3.917263903	8357229	51	26	9	42	37	507.91	58.76	58.28810041	37.33
Eaethiops	2.822407227	20582674	20	12	8	2	2	473.5	55.7	54.29061737	37.24
Ealbergana	4.780566654	23385589	17	14	8	1	0	466.9	55.05	53.37494958	37.11
Ebubastis	3.900067684	18254639	29	0	0	0	0	545.4	60.35	54.40279159	37.21
Echristi	1.528896682	23334137	20	11	7	2	0	546.2	60.51	58.28459243	37.45
Edisa	3.584126679	20730708	29	0	0	0	0	584	55.19	51.18571689	37.72
Eembla	3.373820138	20477097	29	0	0	0	0	571.5	55.09	51.03261769	37.69
Eepiphron	2.925106656	26402473	16	15	11	2	0	523.4	59.27	56.63011571	37.29
Eeriphyle	4.719086978	18123187	29	0	0	0	0	523.9	58.49	53.63332172	37.63
Eflavofasciata	3.163909176	21936026	20	12	8	3	1	647.5	59.64	56.02553623	37.3
Egorge	2.298013257	19258961	20	10	4	0	0	530.8	58.86	55.23895007	37.48
Eligea	3.804283397	18432399	29	0	0	0	0	506.4	59.69	54.93014982	37.38
Emanto	3.139726363	18472434	29	0	0	0	0	513.5	59.43	55.16414418	37.34
Emedusa	2.291719988	37180202	11	19	4	1	0	542.9	57.56	55.13075086	37.23
Emelampus	3.183937694	20054411	20	9	0	0	0	479.2	56.92	56.25076569	37.22
Emelancholica	3.093811615	19286279	22	8	1	1	0	516.4	58.5	51.48149129	37.05
Emeolans	2.783427245	34087700	14	16	0	1	0	512.9	56.67	53.26680048	37.08
Emnestra	3.183574534	34020831	12	19	13	1	1	448.9	53.5	50.91302949	37.12
Emontana	1.801532443	21170507	23	7	0	1	0	597.2	61.37	56.87267678	37.1
Epalarica	2.771906258	35708389	14	16	0	1	0	493.2	57.12	56.01438526	36.87
Epharte	3.724633583	26035223	20	12	8	3	1	616.8	63.77	59.52164575	37.47
Epronoe	3.707760571	20967292	19	14	7	4	3	539.2	57.78	51.2326517	37
Erondoui	2.739874212	20936067	24	18	1	13	8	599.3	63.3	58.67540874	36.97
Estirius	3.434827886	20627108	21	9	2	1	0	515.7	59.12	54.77770973	36.97
Esudetica	3.481672002	20456478	20	9	0	0	0	485.9	57.15	56.66320871	37.38
Etriaria	2.257169609	29632841	16	16	1	3	2	521.3	58.36	56.98168095	36.92
Mjurtina	3.022397068	NA	31	0	0	0	0	499.4	19.89	19.29575924	34.09
Mcinxia	3.692510384	NA	29	0	0	0	0	402	14.82	11.82819609	36.96
X2575	3.868234449	19467203	28	1	0	0	0	531.27	60.76	55.05966434	37.45
X2576	3.385127744	20328026	28	1	0	0	0	562.96	62.76	56.07690171	37.54
X3252	2.978638875	19917339	28	1	1	0	0	599.99	63.04	61.74296958	37.47
X3258	3.399027623	45234119	11	23	1	5	0	522.89	59.71	55.40111216	36.63
X3311	3.036414649	33403613	14	20	13	3	2	469.71	56.39	56.35037872	37.13
X3506	4.487901658	20195443	23	7	0	1	0	535.06	60.58	56.32644155	37.01
X3531	4.27970463	53756506	10	24	7	5	0	546.1	61.29	57.17543235	36.81
X3737	3.904305608	46598952	10	24	2	5	0	526.64	59.94	56.01421526	36.74
