species	karyotype	nb_fusions	nb_fusions_tip	nb_fissions	nb_fissions_tip	size	repeat_proportion	repeats_nooverlap	GC level	median_autosome_size
C0001	19	10	4	0	0	482.43	56.98	56.61944406	37.53	20057127
C0055	40	11	0	20	15	503.74	58.33	54.58640798	36.92	11251810
C0080	8	26	4	5	0	515.64	59.39	55.46697293	36.65	59986056
C0100	51	26	9	42	37	507.91	58.76	58.28810041	37.33	8357229
Eaethiops	20	12	8	2	2	473.5	55.7	54.29061737	37.24	20582674
Ealbergana	17	14	8	1	0	466.9	55.05	53.37494958	37.11	23385589
Ebubastis	29	0	0	0	0	545.4	60.35	54.40279159	37.21	18254639
Echristi	20	11	7	2	0	546.2	60.51	58.28459243	37.45	23334137
Edisa	29	0	0	0	0	584	55.19	51.18571689	37.72	20730708
Eembla	29	0	0	0	0	571.5	55.09	51.03261769	37.69	20477097
Eepiphron	16	15	11	2	0	523.4	59.27	56.63011571	37.29	26402473
Eeriphyle	29	0	0	0	0	523.9	58.49	53.63332172	37.63	18123187
Eflavofasciata	20	12	8	3	1	647.5	59.64	56.02553623	37.3	21936026
Egorge	20	10	4	0	0	530.8	58.86	55.23895007	37.48	19258961
Eligea	29	0	0	0	0	506.4	59.69	54.93014982	37.38	18432399
Emanto	29	0	0	0	0	513.5	59.43	55.16414418	37.34	18472434
Emedusa	11	19	4	1	0	542.9	57.56	55.13075086	37.23	37180202
Emelampus	20	9	0	0	0	479.2	56.92	56.25076569	37.22	20054411
Emelancholica	22	8	1	1	0	516.4	58.5	51.48149129	37.05	19286279
Emeolans	14	16	0	1	0	512.9	56.67	53.26680048	37.08	34087700
Emnestra	12	19	13	1	1	448.9	53.5	50.91302949	37.12	34020831
Emontana	23	7	0	1	0	597.2	61.37	56.87267678	37.1	21170507
Epalarica	14	16	0	1	0	493.2	57.12	56.01438526	36.87	35708389
Epharte	20	12	8	3	1	616.8	63.77	59.52164575	37.47	26035223
Epronoe	19	14	7	4	3	539.2	57.78	51.2326517	37	20967292
Erondoui	24	18	1	13	8	599.3	63.3	58.67540874	36.97	20936067
Estirius	21	9	2	1	0	515.7	59.12	54.77770973	36.97	20627108
Esudetica	20	9	0	0	0	485.9	57.15	56.66320871	37.38	20456478
Etriaria	16	16	1	3	2	521.3	58.36	56.98168095	36.92	29632841
Mcinxia	31	0	0	0	0	499.4	19.89	19.29575924	34.09	NA
Mjurtina	29	0	0	0	0	402	14.82	11.82819609	36.96	NA
X2575	28	1	0	0	0	531.27	60.76	55.05966434	37.45	19467203
X2576	28	1	0	0	0	562.96	62.76	56.07690171	37.54	20328026
X3252	28	1	1	0	0	599.99	63.04	61.74296958	37.47	19917339
X3258	11	23	1	5	0	522.89	59.71	55.40111216	36.63	45234119
X3311	14	20	13	3	2	469.71	56.39	56.35037872	37.13	33403613
X3506	23	7	0	1	0	535.06	60.58	56.32644155	37.01	20195443
X3531	10	24	7	5	0	546.1	61.29	57.17543235	36.81	53756506
X3737	10	24	2	5	0	526.64	59.94	56.01421526	36.74	46598952
