species	Merian	nb_fusion	nb_fission	size	chrom_size	tot_bp_A	tot_bp_B	avg_PC1	avg_insulation	avg_TAD_length	avg_ratio_inter_intra	avg_S	avg_slope_loglog_all	avg_slope_loglog_0_10	avg_R1_interchrom	avg_R1_interchrom_norRNA	strength
C0001	M1	2	0	20001502	20007652	7680000	11880000	-0.146385	0.0275954	258027	7.95905	2.46919	-0.448787	-0.749826	0.00100089	0.00100267	3.455701313
C0055	M1	0	1	22378215	11215000	7640000	12680000	-0.167968	0.0653342	278840	5.60682	2.36623	-0.331737	-0.311453	0.00143469	0.00144104	4.230266837
C0080	M1	4	5	21940215	45996402	6240000	14360000	-0.42583	0.142445	303437	1.59091	2.37789	-1.03335	-1.07669	4.88142e-4	4.89413e-4	3.564202858
C0100	M1	3	5	21939530	11747500	10000000	11240000	0.103062	0.0658567	277214	25.5045	2.26275	-0.408821	-0.408821	2.74802e-4	2.73644e-4	3.964699025
Eaethiops	M1	0	0	20068166	20139539	7800000	10760000	-0.197002	0.0774996	269444	18.9692	2.65249	-0.328168	-0.622947	8.5329e-4	8.53356e-4	3.091720382
Ealbergana	M1	2	0	19999729	33935044	11840000	6560000	-0.0767913	0.0122463	726405	1.19825	3.32589	-1.32763	-1.44567	0.00157326	0.00154968	3.286552607
Ebubastis	M1	0	0	22935167	22938684	6360000	15040000	-0.361839	0.083248	287635	12.1254	2.24358	-0.346511	-0.632304	2.42624e-4	2.43478e-4	3.293682468
Echristi	M1	0	0	24280933	24328281	6000000	17520000	-0.350952	0.0339122	303143	11.462	2.53268	-0.614217	-0.797929	3.68967e-4	3.72581e-4	2.869412287
Edisa	M1	0	0	25999289	26068671	6920000	17080000	-0.325622	0.0755563	292072	10.1306	2.15782	-0.353291	-0.632538	6.89198e-4	6.90819e-4	3.38037358
Eembla	M1	0	0	25215718	25258942	7040000	16200000	-0.302486	0.0713142	314077	9.88243	2.15395	-0.345911	-0.584872	0.00148448	0.00148165	3.126663229
Eepiphron	M1	0	0	22975860	23075543	6920000	14360000	-0.310115	0.0893254	284067	13.0325	2.1051	-0.806956	-1.05074	0.001268	0.00128662	2.908331956
Eeriphyle	M1	0	0	22314800	22332837	8160000	13240000	-0.226125	0.0396141	282658	6.45365	2.23417	-0.337681	-0.625306	7.62147e-4	7.58126e-4	3.981573336
Eflavofasciata	M1	0	0	23279352	23391936	7960000	14320000	-0.274018	0.0423916	274639	5.72002	2.4796	-0.560886	-0.73253	6.42096e-4	6.38841e-4	3.021416934
Egorge	M1	2	0	20687960	31933552	5360000	14480000	-0.309992	-0.00484581	247558	7.06664	2.29413	-0.876978	-0.924389	6.74745e-4	6.76411e-4	3.271292503
Eligea	M1	0	0	22677958	22695020	6280000	14840000	-0.383827	0.0420914	291932	0.584763	2.61023	-0.551165	-0.784233	0.0022725	0.00229306	3.472522281
Emanto	M1	0	0	22944927	22965644	6560000	15240000	-0.301698	0.0536609	288203	15.5681	2.43023	-0.548923	-0.828694	3.36909e-4	3.3561e-4	2.769629361
Emedusa	M1	4	2	20592927	57750468	4840000	14920000	-0.30661	0.108231	289304	5.47965	2.31753	-0.788539	-0.889082	2.73589e-4	2.755e-4	2.222459781
Emelampus	M1	0	0	21337275	21379093	5560000	14680000	-0.304224	0.0599641	283229	11.4702	2.32505	-0.430968	-0.740936	4.42683e-4	4.42651e-4	3.262234504
Emelancholica	M1	1	0	21818721	21833052	6040000	14880000	-0.323929	0.0580529	261615	15.729	2.27586	-0.31735	-0.643486	7.42899e-4	7.47555e-4	2.999436109
Emeolans	M1	2	0	21193007	37484814	6760000	13760000	-0.279364	0.0427622	279863	6.24551	2.1932	-0.859027	-0.93403	3.62764e-4	3.63427e-4	3.014187178
Emnestra	M1	1	0	20003507	39848818	6440000	12760000	-0.312287	0.0898343	302422	5.25118	2.24259	-0.899327	-1.01061	4.15157e-4	4.15176e-4	2.794711694
Emontana	M1	1	0	23606023	23696043	5360000	16960000	-0.338426	0.0795511	282120	13.6026	2.29087	-0.423147	-0.670149	2.13138e-4	2.12487e-4	2.434231619
Epalarica	M1	2	0	22349826	39377617	10680000	10880000	0.0614572	0.0389305	269367	3.68593	2.5148	-1.03249	-1.11386	9.81522e-4	9.88544e-4	2.739275478
Epharte	M1	0	0	26630015	26794021	4760000	13560000	-0.431641	0.0936634	380338	1.98025	2.6291	-0.690824	-0.845031	0.00246439	0.00247114	3.215364286
Epronoe	M1	1	0	21995146	22042943	5280000	11960000	-0.430216	0.0660813	372263	2.7903	2.75809	-0.766496	-0.902391	0.00265832	0.00266923	3.272000942
Erondoui	M1	6	7	23854382	19552300	7760000	14720000	-0.222912	0.110898	304932	15.8613	2.22981	-0.33996	-0.547154	6.49483e-4	6.45818e-4	3.172651606
Estirius	M1	1	0	22741514	22800711	6520000	14960000	-0.357264	0.0515287	265988	6.83294	2.30415	-0.487233	-0.712002	5.14349e-4	5.15851e-4	3.017426985
Esudetica	M1	0	0	21619426	21625732	7080000	13280000	-0.314236	0.0793706	263605	15.7116	2.39723	-0.451679	-0.818092	3.76345e-4	3.75698e-4	3.408639497
Etriaria	M1	4	2	20115091	20211136	6320000	13000000	-0.29562	0.0566823	272648	15.6449	2.26698	-0.448285	-0.83165	8.00712e-4	8.07466e-4	2.862045851
Mcinxia	M1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M1	0	0	17284988	17292425	NA	NA	NA	NA	242682	20.8058	2.19361	-0.345593	-0.483386	3.69227e-4	3.68545e-4	2.936872728
X2575	M1	0	0	23681189	23706286	15920000	6240000	0.347182	0.0489289	265736	2.32874	2.45187	-0.494042	-0.613023	0.0016766	0.00170313	3.391954163
X2576	M1	0	0	24394828	24489931	7200000	15400000	-0.297163	0.0544504	295052	2.28787	2.47882	-0.431565	-0.608576	0.00172213	0.00171796	3.22222374
X3252	M1	0	0	23801270	23885979	6600000	15760000	-0.282224	0.0584334	323875	5.21768	2.51558	-0.261253	-0.515356	0.00125313	0.00125402	3.234530591
X3258	M1	4	5	22187730	44836625	6400000	14320000	-0.310313	0.134515	287267	2.72124	2.2942	-0.939126	-0.882564	0.00125001	0.00125644	3.239868165
X3311	M1	1	0	20143257	36925002	9760000	9560000	0.0887398	0.0323369	257184	3.62954	2.24819	-0.719756	-0.828012	0.00180076	0.00178613	3.141723529
X3506	M1	1	0	23711066	23788798	7640000	14120000	-0.340749	0.0479126	272488	1.02678	2.4133	-0.585	-0.811687	9.01813e-4	9.05694e-4	4.532650173
X3531	M1	6	7	22406614	72478779	15680000	5440000	0.161299	0.17809	286153	0.888901	2.37599	-1.04004	-0.990404	0.00133954	0.00133574	3.53183437
X3737	M1	4	5	21153930	42828383	9640000	10720000	0.148507	0.115857	281164	1.61001	2.1719	-1.01912	-1.0148	0.00144236	0.00144056	3.575771567
C0001	M10	5	1	15291023	29433780	6720000	8120000	0.0299204	0.0370163	306245	4.78969	2.46321	-0.602417	-0.643347	0.00107975	0.00107574	3.454095513
