species	chrom	size	ratio_inter_intra
C0001	scaffold_1	42894523	3.1651
C0001	scaffold_10	20057127	16.8446
C0001	scaffold_11	20049701	16.72
C0001	scaffold_12	19754822	17.8048
C0001	scaffold_13	19175159	18.591
C0001	scaffold_14	18923300	16.8256
C0001	scaffold_15	17820001	8.4642
C0001	scaffold_16	17698457	18.7066
C0001	scaffold_17	17214683	19.8321
C0001	scaffold_18	16691572	21.7956
C0001	scaffold_19	15634627	22.7095
C0001	scaffold_2	35879653	7.5392
C0001	scaffold_20	15226368	NA
C0001	scaffold_3	33776446	9.033
C0001	scaffold_4	33230324	8.5843
C0001	scaffold_5	32846491	9.5398
C0001	scaffold_6	29600044	10.0096
C0001	scaffold_7	27901145	10.9211
C0001	scaffold_8	26568539	11.0996
C0001	scaffold_9	21488246	16.0698
C0055	scaffold_1	39244018	2.2412
C0055	scaffold_10	13525751	8.6144
C0055	scaffold_11	13224960	9.082
C0055	scaffold_12	12098087	10.2418
C0055	scaffold_13	12036327	12.24
C0055	scaffold_14	11724244	10.814
C0055	scaffold_15	11657766	11.2146
C0055	scaffold_16	11532974	11.1368
C0055	scaffold_17	11273578	12.2456
C0055	scaffold_18	11284610	11.3017
C0055	scaffold_19	11122842	13.0978
C0055	scaffold_2	21065659	6.1962
C0055	scaffold_20	11259441	11.4108
C0055	scaffold_21	10965443	12.3241
C0055	scaffold_22	10969485	12.8047
C0055	scaffold_23	11251810	12.5454
C0055	scaffold_24	10613514	12.6235
C0055	scaffold_25	10520775	13.2537
C0055	scaffold_26	10455133	12.5952
C0055	scaffold_27	10020731	15.1183
C0055	scaffold_28	9909570	13.666
C0055	scaffold_29	9785007	14.9341
C0055	scaffold_3	17819051	6.1428
C0055	scaffold_30	9673251	14.9376
C0055	scaffold_31	9620995	15.2139
C0055	scaffold_32	9591660	17.6326
C0055	scaffold_33	11072122	12.7604
C0055	scaffold_34	10104160	13.8267
C0055	scaffold_35	8784908	17.9934
C0055	scaffold_36	9040454	16.7238
C0055	scaffold_37	14046516	8.4638
C0055	scaffold_38	8593866	18.5045
C0055	scaffold_39	9316256	16.3291
C0055	scaffold_4	18716436	6.1493
C0055	scaffold_40	8390101	17.9771
C0055	scaffold_5	15476122	7.4828
C0055	scaffold_6	15364130	6.9415
C0055	scaffold_7	14577335	7.5733
C0055	scaffold_8	14268553	9.0023
C0055	scaffold_9	13744587	8.5571
C0080	scaffold_1	100534318	1.5602
C0080	scaffold_2	71129573	2.0309
C0080	scaffold_3	68496016	1.9457
C0080	scaffold_4	59986056	2.6236
C0080	scaffold_5	57514725	1.3612
C0080	scaffold_6	51532479	2.6929
C0080	scaffold_7	46387527	3.6154
C0080	scaffold_8	46326872	3.243
C0080	scaffold_9	13729735	154.859
C0100	scaffold_1	36997427	5.9034
C0100	scaffold_10	13210770	37.6832
C0100	scaffold_11	13065310	39.1258
C0100	scaffold_12	11809065	43.387
C0100	scaffold_13	10243499	52.2712
C0100	scaffold_14	9769561	58.1606
C0100	scaffold_15	9801045	56.9324
C0100	scaffold_16	9579752	57.2066
C0100	scaffold_17	9339885	61.5411
C0100	scaffold_18	9242237	60.7897
C0100	scaffold_19	9184779	59.5853
C0100	scaffold_2	17761272	13.4022
C0100	scaffold_20	9139700	59.1678
C0100	scaffold_21	9126001	60.6613
C0100	scaffold_22	8969124	62.2285
C0100	scaffold_23	8939983	62.4884
C0100	scaffold_24	8625537	65.6412
C0100	scaffold_25	8540251	67.9636
C0100	scaffold_26	8453708	64.732
C0100	scaffold_27	8357229	66.0962
C0100	scaffold_28	8308647	75.913
C0100	scaffold_29	8249008	68.6212
C0100	scaffold_3	15285597	31.8715
C0100	scaffold_30	8168588	68.5904
C0100	scaffold_31	8172645	60.6856
C0100	scaffold_32	8170079	67.8968
C0100	scaffold_33	8112736	69.6728
C0100	scaffold_34	8020467	69.6213
C0100	scaffold_35	7890078	72.2762
C0100	scaffold_36	7782377	71.4112
C0100	scaffold_37	7583830	73.8153
C0100	scaffold_38	7566908	73.2161
C0100	scaffold_39	7521410	78.4094
C0100	scaffold_4	14415412	34.3841
C0100	scaffold_40	7353535	78.3163
C0100	scaffold_41	7419302	76.301
C0100	scaffold_42	7296236	76.5429
C0100	scaffold_43	7203569	80.6091
C0100	scaffold_44	6952263	84.374
C0100	scaffold_45	6157525	97.0186
C0100	scaffold_46	6080694	93.8439
C0100	scaffold_47	5897521	97.4753
C0100	scaffold_48	5895268	100.2957
C0100	scaffold_49	5665513	104.8788
C0100	scaffold_5	13896606	36.0572
C0100	scaffold_50	5422316	109.3215
C0100	scaffold_51	5277160	106.1247
C0100	scaffold_52	7916641	279.9333
C0100	scaffold_6	13800488	38.9559
C0100	scaffold_7	13748377	36.0598
C0100	scaffold_8	13284048	37.7127
C0100	scaffold_9	13241553	38.0813
X2575	scaffold_1	29989463	3.2792
X2575	scaffold_10	21483191	5.5305
X2575	scaffold_11	19854737	5.4658
X2575	scaffold_12	19369577	6.1913
X2575	scaffold_13	20414053	5.4769
X2575	scaffold_14	19759810	5.7141
X2575	scaffold_15	19467203	5.6096
X2575	scaffold_16	19618528	5.5324
X2575	scaffold_17	19008025	6.4076
X2575	scaffold_18	18192571	6.2649
X2575	scaffold_19	17808383	6.4012
X2575	scaffold_2	23972015	4.7429
X2575	scaffold_20	17768859	6.3428
X2575	scaffold_21	17571008	6.793
X2575	scaffold_22	16245388	7.4016
X2575	scaffold_23	16022350	7.9452
X2575	scaffold_24	13398917	8.8201
X2575	scaffold_25	12878641	9.7859
X2575	scaffold_26	10546484	11.8747
X2575	scaffold_27	8719212	14.8385
X2575	scaffold_28	9768352	14.9503
X2575	scaffold_3	23645765	4.3817
X2575	scaffold_4	22775921	5.2152
X2575	scaffold_5	23330544	4.8263
X2575	scaffold_6	23172011	2.0512
X2575	scaffold_7	22593700	5.6552
X2575	scaffold_8	21606717	4.8408
X2575	scaffold_9	22292546	4.5521
X2576	scaffold_1	31240052	3.2566
X2576	scaffold_10	21733498	5.003
X2576	scaffold_11	22119809	5.7942
X2576	scaffold_12	21591836	5.3415
X2576	scaffold_13	20464825	5.5451
X2576	scaffold_14	20629981	5.4807
X2576	scaffold_15	20211639	5.9431
X2576	scaffold_16	20024659	6.2984
X2576	scaffold_17	18916128	6.0254
X2576	scaffold_18	18730151	5.8344
X2576	scaffold_19	18429661	6.8293
X2576	scaffold_2	25047042	4.4181
X2576	scaffold_20	18387209	6.4014
X2576	scaffold_21	16861714	7.6334
X2576	scaffold_22	16842845	7.4546
X2576	scaffold_23	20328026	5.5665
X2576	scaffold_24	14695641	9.7468
X2576	scaffold_25	13557508	9.7132
X2576	scaffold_26	11450555	12.2416
X2576	scaffold_27	10502295	15.4453
X2576	scaffold_28	8955374	17.2656
X2576	scaffold_29	6591700	NA
X2576	scaffold_3	24301944	4.6143
X2576	scaffold_4	24498023	4.6802
X2576	scaffold_5	23250913	5.891
X2576	scaffold_6	23498624	5.3799
X2576	scaffold_7	24134171	2.1267
X2576	scaffold_8	23220895	4.4307
X2576	scaffold_9	22739584	4.6199
X3252	scaffold_1	43869661	2.1279
X3252	scaffold_10	21666481	12.7439
X3252	scaffold_11	20420699	12.8189
X3252	scaffold_12	20175565	13.0779
X3252	scaffold_13	20206566	13.4713
X3252	scaffold_14	19968224	13.8734
X3252	scaffold_15	19917339	13.4425
X3252	scaffold_16	18613313	14.8615
X3252	scaffold_17	18481954	17.5397
X3252	scaffold_18	18638124	15.0115
X3252	scaffold_19	18187076	15.0731
X3252	scaffold_2	23774035	11.0808
X3252	scaffold_20	17926569	15.6993
X3252	scaffold_21	17879688	15.1839
X3252	scaffold_22	17691837	16.6416
X3252	scaffold_23	17681055	21.8001
X3252	scaffold_24	14184124	20.6583
X3252	scaffold_25	13175205	22.8874
X3252	scaffold_26	12639536	21.2233
X3252	scaffold_27	11599131	28.495
X3252	scaffold_28	10052879	26.4254
X3252	scaffold_29	43023518	715.2692
X3252	scaffold_3	23911110	10.7907
X3252	scaffold_4	23678771	10.7598
X3252	scaffold_5	22448173	12.741
X3252	scaffold_6	23114643	11.3124
X3252	scaffold_7	23202313	12.1257
X3252	scaffold_8	21889327	12.1269
X3252	scaffold_9	21972728	11.9902
X3258	scaffold_1	59644855	2.0175
X3258	scaffold_10	34788775	7.6938
X3258	scaffold_11	33617605	7.487
X3258	scaffold_12	22674045	NA
X3258	scaffold_2	55864847	4.3502
X3258	scaffold_3	53749905	4.1075
X3258	scaffold_4	51735000	4.528
X3258	scaffold_5	46123792	5.504
X3258	scaffold_6	45576453	4.9592
X3258	scaffold_7	44891785	5.6944
X3258	scaffold_8	38703603	6.8363
X3258	scaffold_9	35523135	6.9635
X3311	scaffold_1	42336005	6.1918
X3311	scaffold_10	32486046	8.4992
X3311	scaffold_11	27562603	11.9781
X3311	scaffold_12	26435890	12.4557
X3311	scaffold_13	21679127	14.2534
X3311	scaffold_14	15953076	22.6667
X3311	scaffold_15_16	20769537	NA
X3311	scaffold_2	37279938	7.4138
X3311	scaffold_3	36752064	7.353
X3311	scaffold_4	36413192	7.8217
X3311	scaffold_5	35924571	4.1421
X3311	scaffold_6	34997696	7.7006
X3311	scaffold_7	34691039	7.8305
X3311	scaffold_8	33403613	8.9501
X3311	scaffold_9	33028892	8.1396
X3506	scaffold_1	55597048	0.7494
X3506	scaffold_10	21340370	2.1526
X3506	scaffold_11	20655643	2.2034
X3506	scaffold_12	20816206	2.2064
X3506	scaffold_13	19368781	2.8511
X3506	scaffold_14	19724047	2.4373
X3506	scaffold_15	19735242	2.5479
X3506	scaffold_16	19534356	2.5492
X3506	scaffold_17	18572207	2.672
X3506	scaffold_18	18914145	2.6213
X3506	scaffold_19	18291368	2.5671
X3506	scaffold_2	42084978	0.4134
X3506	scaffold_20	18259818	2.7579
X3506	scaffold_21	18011509	2.7158
X3506	scaffold_22	17894018	2.7245
X3506	scaffold_23	17499984	2.964
