species	karyotype	nb_fusions	nb_fissions	size	repeat_proportion	in_bp	in_ATAC	Average TAD size (kb)	A_perc	B_perc
Eaethiops	20	12	2	473.5	55.7	no	yes	300835	37.1583	53.1848
Ealbergana	17	14	1	466.9	55.05	no	no	482990	38.2555	50.0569
Ebubastis	29	0	0	545.4	60.35	no	no	290842	42.7592	48.2755
Ecalcaria	8	26	5	515.64	59.39	yes	yes	298590	47.8709	43.6896
Ecassioides	10	24	5	546.1	61.29	yes	yes	288034	44.0209	43.64
Echristi	20	11	2	546.2	60.51	no	no	301026	47.4858	47.2805
Edisa	29	0	0	584	55.19	no	no	312723	42.3345	48.3863
Eembla	29	0	0	571.5	55.09	no	no	307411	41.2082	49.4274
Eepiphron	16	15	2	523.4	59.27	yes	yes	294033	40.148	50.5261
Eeriphyle	29	0	0	523.9	58.49	no	no	284057	46.403	48.147
Eeuryaleadyte	28	1	0	531.27	60.76	no	yes	294156	44.7576	48.1933
Eeuryaleisarica	28	1	0	562.96	62.76	no	yes	302770	44.0389	46.0782
Eflavofasciata	20	12	3	647.5	59.64	no	no	307406	34.8356	43.7901
Egorge	20	10	0	530.8	58.86	yes	yes	285310	42.8521	45.947
Egraucasica	51	26	42	507.91	58.76	yes	yes	295174	42.5974	50.3309
Eligea	29	0	0	506.4	59.69	yes	yes	300449	41.8345	50.2061
Emanto	29	0	0	513.5	59.43	no	no	296018	38.8715	55.7643
Emedusa	11	19	1	542.9	57.56	yes	yes	298123	31.4766	52.1557
Emelampus	20	9	0	479.2	56.92	no	no	288824	48.5191	44.0973
Emelancholica	22	8	1	516.4	58.5	no	no	290063	43.5188	50.8417
Emeolans	14	16	1	512.9	56.67	no	yes	297330	43.1669	50.3832
Emnestra	12	19	1	448.9	53.5	no	no	280922	45.7876	49.1159
Emontana	23	7	1	597.2	61.37	yes	no	308001	43.4648	38.8515
Enivalis	11	23	5	522.89	59.71	yes	yes	296493	42.7773	45.4088
Eoeme	14	20	3	469.71	56.39	no	yes	284110	42.2215	47.9867
Eottomana	40	11	20	503.74	58.33	yes	yes	282578	41.0679	50.0891
Epalarica	14	16	1	493.2	57.12	no	no	289723	42.254	52.7789
Epandrose	28	1	0	599.99	63.04	no	yes	356391	35.7473	47.6333
Epharte	20	12	3	616.8	63.77	yes	yes	478883	26.2066	39.5066
Epluto	19	10	0	482.43	56.98	yes	no	280402	43.0403	49.1925
Epronoe	19	14	4	539.2	57.78	no	no	445185	28.2161	42.9682
Erondoui	24	18	13	599.3	63.3	yes	no	313444	40.5536	43.3303
Estirius	21	9	1	515.7	59.12	yes	no	288091	42.9029	51.0267
Estyx	23	7	1	535.06	60.58	no	yes	287754	44.8846	46.5442
Esudetica	20	9	0	485.9	57.15	no	no	288002	38.8514	52.3123
Etriaria	16	16	3	521.3	58.36	yes	no	291078	38.3505	46.5624
Etyndarus	10	24	5	526.64	59.94	yes	yes	287195	45.2561	42.1023
Mcinxia	31	0	0	499.4	19.89	no	no		41.2622	58.7378
Mjurtina	29	0	0	402	14.82	no	no		50.3306	49.6694
